@relation wine-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0-V

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute chlorides numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,6
5.8,0.29,0.38,10.7,0.038,49,136,0.99366,3.11,0.59,11.2,6
6.9,0.28,0.28,12.2,0.042,52,139,0.99522,3.03,0.56,10.4,6
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
6.5,0.33,0.38,2.5,0.047,30,148,0.98964,3.17,0.43,12.7,6
7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,6
6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,5
6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5
8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6
6.4,0.22,0.32,4.9,0.046,50,156,0.99316,3.38,0.55,11.2,6
6.6,0.17,0.36,1.9,0.036,38,110,0.99056,3.05,0.54,11.4,6
6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5
7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,7
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5
6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7
5.5,0.16,0.26,1.5,0.032,35,100,0.99076,3.43,0.77,12,6
5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,5
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
6.8,0.21,0.49,14.5,0.06,50,170,0.9991,3.55,0.44,9.8,6
6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7
6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,5
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5
6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,5
7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,6
6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,7
6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,8
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5
6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6
5.7,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5
6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,5
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6
6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5
6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
